"Timestamp","Answer on a scale of 1-7, where 1 means you're certain it's not pelty and 7 means you're certain it's pelty. 4 means unsure.",""
"2019/12/11 5:15:13 PM EST","3","mfholtz"
"2019/12/11 5:15:35 PM EST","2",""
"2019/12/11 5:15:37 PM EST","5",""
"2019/12/11 5:15:53 PM EST","3",""
"2019/12/11 5:16:42 PM EST","6","ijsosa"
"2019/12/11 5:16:56 PM EST","5","akhilan"
"2019/12/11 5:17:08 PM EST","5",""
"2019/12/11 5:17:24 PM EST","5",""
"2019/12/11 5:17:31 PM EST","2","capolino"
"2019/12/11 5:18:29 PM EST","5",""
"2019/12/11 5:18:30 PM EST","5",""
"2019/12/11 5:18:31 PM EST","4",""
"2019/12/11 5:18:49 PM EST","5",""
"2019/12/11 5:19:41 PM EST","2",""
"2019/12/11 5:20:23 PM EST","4",""
"2019/12/11 5:24:27 PM EST","5",""
"2019/12/11 5:26:10 PM EST","6",""
"2019/12/11 5:28:36 PM EST","5",""
"2019/12/11 5:30:42 PM EST","3",""
"2019/12/11 5:30:59 PM EST","4",""
"2019/12/11 5:31:35 PM EST","6",""
"2019/12/11 5:34:26 PM EST","5",""
"2019/12/11 5:35:20 PM EST","2",""
"2019/12/11 5:36:38 PM EST","5",""
"2019/12/11 5:37:58 PM EST","3",""
"2019/12/11 5:39:19 PM EST","5",""
"2019/12/11 5:40:08 PM EST","2",""
"2019/12/11 5:40:14 PM EST","2",""
"2019/12/11 5:41:04 PM EST","5",""
"2019/12/11 5:41:11 PM EST","4",""
"2019/12/11 5:42:26 PM EST","5",""
"2019/12/11 5:48:35 PM EST","3",""
"2019/12/11 5:48:46 PM EST","4",""
"2019/12/11 5:49:05 PM EST","5",""
"2019/12/11 5:50:26 PM EST","4",""
"2019/12/11 5:50:50 PM EST","2",""
"2019/12/11 5:52:56 PM EST","2",""
"2019/12/11 6:06:43 PM EST","4",""
"2019/12/11 6:09:46 PM EST","4",""
"2019/12/11 6:11:46 PM EST","5",""
"2019/12/11 6:12:00 PM EST","2",""
"2019/12/11 6:12:50 PM EST","2",""
"2019/12/11 6:20:52 PM EST","6",""
"2019/12/11 6:29:39 PM EST","5",""
"2019/12/11 6:29:53 PM EST","2",""
"2019/12/11 6:40:03 PM EST","2",""
"2019/12/11 6:43:50 PM EST","4",""
"2019/12/11 6:52:50 PM EST","2",""
"2019/12/11 6:58:47 PM EST","1",""
"2019/12/11 6:59:28 PM EST","3",""
"2019/12/11 7:13:28 PM EST","4",""
"2019/12/11 7:22:20 PM EST","5",""
"2019/12/11 7:27:12 PM EST","1",""
"2019/12/11 7:39:00 PM EST","3",""
"2019/12/11 8:05:41 PM EST","4",""
"2019/12/11 8:09:06 PM EST","5",""
"2019/12/11 8:10:22 PM EST","2",""
"2019/12/11 8:11:23 PM EST","5",""
"2019/12/11 8:12:48 PM EST","5",""
"2019/12/11 8:28:38 PM EST","2",""
"2019/12/11 9:09:02 PM EST","4",""
"2019/12/11 11:27:02 PM EST","5",""
"2019/12/11 11:37:41 PM EST","6",""
"2019/12/12 1:02:01 AM EST","4",""
"2019/12/12 3:52:50 AM EST","3",""
"2019/12/12 8:07:14 AM EST","4",""
"2019/12/12 10:53:05 AM EST","5",""
"2019/12/12 1:27:12 PM EST","4",""
"2019/12/12 2:50:51 PM EST","3",""
"2019/12/12 5:07:22 PM EST","5",""
"2019/12/13 12:17:23 PM EST","2",""
"2019/12/13 5:47:37 PM EST","2",""